date,value
2020-10-30,1065
2021-09-21,2211
2020-04-19,1319
2022-08-22,803
2020-12-13,2127
2021-05-28,514
2021-10-13,1576
2020-11-22,1469
2021-09-22,2166
2020-05-27,1459
2021-03-10,1136
2020-06-07,1186
2021-06-08,452
2023-03-23,255
2021-10-01,1898
2021-03-07,1127
2022-01-26,3510
2020-09-04,1101
2020-05-09,1593
2020-05-31,1458
2021-03-25,1003
2022-08-05,834
2020-10-27,1081
2021-03-12,1129
2021-11-20,849
2020-06-25,854
2021-05-25,520
2021-12-21,1518
2021-09-03,1892
2021-02-13,1991
2022-01-27,3467
